,jobname,min-pairwise-TMscores,avg-pairwise-TMscores,number of clusters,cluster decay rate 1,cluster decay rate 2,cluster decay rate 3,Top 1 pLDDT,Top 2 pLDDT,Top 3 pLDDT,dataset
31,3jv6A,0.3433348909955028,0.7256147829767529,17,0.06305578011317704,0.44871794871794873,0.6857142857142857,0.975,0.8303148515000001,0.8245089109,FS
32,3kuyA,0.2165497482541159,0.3639728012113461,22,0.5601173020527859,0.6701570680628273,0.84375,0.8665770370000001,0.8286866667,0.8136362963,FS
33,3m1bF,0.6822991040272456,0.8098816296604427,9,0.022116903633491312,0.8928571428571429,0.72,0.9700080808,0.8818565657,0.8483606061000001,FS
34,3njqA,0.596022589503686,0.7570017872391382,19,0.10097719869706841,0.8064516129032258,0.84,0.9040621762000001,0.7813901554,0.7798373057,FS
35,3o44A,0.3643563235100862,0.550600836347843,34,0.625,0.8,1.0,0.8737715008,0.8701060708,0.7679654300000001,FS
36,3qy2A,0.4258248034208335,0.6971059740534273,14,0.09090909090909091,0.4631578947368421,0.5681818181818182,0.9410324786,0.8722974359000001,0.8602700855000001,FS
37,3t1pA,0.37232372025340027,0.5461052373150184,10,0.22857142857142856,0.03125,1.0,0.9427336927000001,0.9387296496,0.6269075472,FS
38,3tp2A,0.46168055727893625,0.6602138190782149,25,0.07602339181286549,0.3076923076923077,1.0,0.9054209607,0.7861371179000001,0.7844017467000001,FS
39,3uyiA,0.455661592349231,0.6283669202841118,32,0.02781136638452237,0.5217391304347826,1.0,0.9719364985000001,0.8082320475,0.8052727003,FS
40,3zwgN,0.4165112989839272,0.7109564269737246,26,0.04926108374384237,0.6333333333333333,0.9473684210526315,0.9639994413,0.7665206704,0.7653039106,FS
41,4aanA,0.30215367434958995,0.506527554686948,10,0.28893905191873587,0.6796875,0.735632183908046,0.9614706745,0.9450868035000001,0.5585876833,FS
42,4b3oB,0.2543654038315193,0.5016525151802766,13,0.5066666666666667,0.4276315789473684,0.4,0.8766213152000001,0.8622063492,0.8266800454000001,FS
43,4dxtA,0.5305994152493418,0.6673494849464521,51,0.21694214876033058,0.6190476190476191,0.5538461538461539,0.9017333333,0.8790717172,0.8650424242,FS
44,4hddA,0.7023091102757891,0.8529901651726417,3,0.035171862509992005,0.18181818181818182,0.0,0.9328974684,0.7941645570000001,0.646864557,FS
45,4j3oF,0.7000519827331009,0.8355645910347397,12,0.04295051353874883,0.3695652173913043,0.9411764705882353,0.9336506494000001,0.7962785714,0.7935980519,FS
46,4jphB,0.25480554692672147,0.6214216489530585,18,0.04050632911392405,0.5,0.875,0.7733493243,0.7667533784,0.7630527027,FS
47,4nc9C,0.60766154752185,0.7827422774412419,5,0.009551098376313277,0.8,0.875,0.9384379487000001,0.8361858974,0.7997005128,FS
48,4o0pA,0.5416249203314532,0.7281626093586466,28,0.07462686567164178,1.0,0.94,0.9304072658,0.8529793499,0.8305743786,FS
49,4phqA,0.5312662287701129,0.7665777505825948,9,1.0,0.18274111675126903,0.6944444444444444,0.8286543624,0.7595627517,0.7320909396,FS
50,4pyiA,0.6922847490053526,0.8041755326759589,11,0.03602811950790861,0.1951219512195122,0.75,0.9662515837000001,0.8362085973000001,0.7896190045,FS
51,4qdsA,0.6645243187406904,0.7889470495325043,21,0.1362126245847176,0.7926829268292683,0.9230769230769231,0.9433631016,0.9236828877000001,0.9086085561,FS
52,4qhfA,0.7585387011035818,0.8313331929689721,4,0.014047410008779631,0.3125,0.8,0.9318736364,0.7713690909,0.7188536364,FS
53,4rmbA,0.507901141326653,0.6871457614158042,41,0.3898305084745763,0.782608695652174,0.8333333333333334,0.7699240964,0.7538180723,0.7499608434,FS
54,4rr2D,0.19564301172848336,0.36737439585487525,15,0.7009345794392523,0.7533333333333333,0.7610619469026548,0.8505738703,0.8084770138,0.7787312377000001,FS
55,4rwnA,0.40034032690932975,0.6251987175649453,18,0.024691358024691357,0.6666666666666666,0.875,0.928497479,0.8118042017,0.7478392157,FS
56,4twaA,0.4580764955350278,0.6812272392742889,34,0.025380710659898477,0.8666666666666667,0.9230769230769231,0.9510772636,0.8070537223,0.7814014085000001,FS
57,4uv2D,0.44222429596785084,0.6532578411911063,77,0.3230769230769231,0.25396825396825395,0.8125,0.8879969466000001,0.8392362595,0.7697961832,FS
58,4wsgC,0.3751540177164259,0.6444766145761114,89,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.7401682093,0.736571831,0.7241734406,FS
59,4y0mJ,0.6035141825458972,0.7831395748574175,10,0.05632411067193676,0.24561403508771928,0.7857142857142857,0.9118740088,0.8059074890000001,0.7783008811000001,FS
60,4zrbC,0.59676306869801,0.8054589792638195,13,0.12269938650306748,0.85,0.9294117647058824,0.9338262774,0.8825861314000001,0.8742182482,FS
61,5aoeB,0.2528144549832532,0.5714545355478154,39,0.08029197080291971,0.8181818181818182,0.8518518518518519,0.8926415984,0.8451786885,0.8254989754000001,FS
62,5b3zA,0.4880693691002015,0.690238371272413,21,0.680327868852459,0.08132530120481928,0.2962962962962963,0.9535637717000001,0.9398049628,0.8162776675000001,FS
63,5c1vA,0.701801330091537,0.8587544459778332,8,0.16957026713124274,0.21232876712328766,0.6774193548387096,0.9545057803,0.9463716763000001,0.9454124277,FS
64,5ejbC,0.41405076836665977,0.5937379589529932,43,1.0,0.8571428571428571,1.0,0.7310359281000001,0.7103061876,0.6938956088,FS
65,5f3kA,0.6229052615192983,0.7386927987954389,25,0.0995405819295559,0.9538461538461539,0.9838709677419355,0.8865773109,0.8117096639,0.8072470588,FS
66,5fluE,0.5298741297386101,0.7872583183281718,25,0.03832752613240418,0.9393939393939394,0.7419354838709677,0.9220030675,0.8500834356,0.8301030675000001,FS
67,5hmgA,0.726580051648046,0.8153308055130355,8,0.03065134099616858,0.75,1.0,0.8911871951,0.6280387195,0.5912993902,FS
68,5i2mA,0.3123322934555759,0.5794845618783921,50,0.5588235294117647,0.8421052631578947,1.0,0.8252303318,0.8176350711,0.8143319905,FS
69,5jytA,0.2345147903262541,0.6316075187116026,28,0.6114285714285714,0.8364485981308412,0.6424581005586593,0.8724358491,0.8611103774000001,0.8559641509,FS
70,5jzhA,0.3750205619865359,0.6387563021145699,64,0.3761467889908257,0.7317073170731707,0.8,0.9151721698,0.855917217,0.8472698113,FS
71,5keqF,0.5407863780683029,0.7319252374820359,13,0.27906976744186046,0.6666666666666666,1.0,0.8705616977,0.7296861284,0.7227422360000001,FS
72,5l35D,0.4300813187627005,0.5341967416223268,27,0.04878048780487805,0.5,1.0,0.840885545,0.6472398104,0.6424815166,FS
73,7ahlE,0.5822850253840548,0.7371048853848742,24,0.07017543859649122,0.2857142857142857,0.8125,0.8747593857,0.792343686,0.7740713311,FS
74,1ab1A,0.20273069048760972,0.49040514867376106,8,0.11777535441657579,0.8888888888888888,0.6145833333333334,0.9590695652000001,0.9336369565,0.6697913043,atlas
75,1ah7A,0.7277911463204981,0.8336865007649421,4,0.024928092042186004,0.23076923076923078,0.8333333333333334,0.9730257143000001,0.7555048980000001,0.7204763265,atlas
76,1b25D,0.6123501806365793,0.785164942918547,8,0.020590868397493287,0.6956521739130435,0.625,0.9709655897,0.7514956381,0.7045400646000001,atlas
77,1b2sE,0.3106274239101955,0.6228789615530136,6,0.03136136849607983,0.3409090909090909,0.5333333333333333,0.9757788889000001,0.9682700000000001,0.7033488889,atlas
78,1b2sF,0.30818190229456266,0.6573186937387432,7,0.028995756718528994,0.21951219512195122,0.5555555555555556,0.9757788889000001,0.9701777778,0.9683455556,atlas
79,1bxyA,0.7676779460733103,0.8838389730366552,2,0.0,0.0,0.0,0.9728700000000001,0.8258966667000001,,atlas
80,1bxyB,0.7656536613886912,0.8828268306943456,2,0.0,0.0,0.0,0.973325,0.825665,,atlas
81,1c1kA,0.29495306544351857,0.5842075028400282,20,0.07461240310077519,0.35064935064935066,0.5185185185185185,0.9588649770000001,0.7837364055,0.7629046083000001,atlas
82,1cuoA,0.7692259910731348,0.855802341483348,3,0.006293706293706294,0.4444444444444444,0.0,0.9775465116000001,0.8089077519000001,0.6732372093,atlas
83,1d4tA,0.3604250533973567,0.635158784396022,63,0.15140845070422534,0.9069767441860465,0.9230769230769231,0.9599932692,0.8217663462,0.8212605769,atlas
84,1dfuP,0.5090931905511538,0.7291829305306725,6,0.01349527665317139,0.3,1.0,0.9657180851,0.7667287234,0.7289617021,atlas
85,1eswA,0.7104711187575135,0.8461450860054021,3,0.0032388663967611335,1.0,0.0,0.9755575999999999,0.6926985999999999,0.594263,atlas
86,1fczA,0.43503668762955006,0.6903637431221589,20,0.06632124352331606,0.546875,0.4857142857142857,0.9645548936,0.7861982979000001,0.7785225532000001,atlas
87,1fd3A,0.34231364562339195,0.7161919674512853,5,0.039544235924932974,0.06779661016949153,1.0,0.9681926829,0.961704878,0.9465560976,atlas
88,1fm4A,0.7420314019473786,0.8453531078848967,4,0.004514672686230248,0.8333333333333334,1.0,0.9633773585000001,0.7938704403,0.7447949686,atlas
89,1g6gA,0.624266695391438,0.7862412235534274,9,0.033393501805054154,0.7567567567567568,0.8571428571428571,0.9611062992,0.8503519685,0.8201637795000001,atlas
90,1g9gA,0.5604881493853422,0.7203139752843352,42,0.02491103202846975,0.7857142857142857,0.7272727272727273,0.9743561208,0.7439257552,0.7354715421,atlas
91,1h16A,0.3351421814429624,0.6093106580529989,34,0.013123359580052493,1.0,0.8,0.9531221344,0.7602235837,0.7532101449,atlas
92,1h17A,0.3349803406552128,0.5983513489301266,33,0.019471488178025034,0.8571428571428571,0.8333333333333334,0.9531221344,0.7826347826000001,0.7603795784,atlas
93,1h2eA,0.6150010693077552,0.802098758922802,4,0.0026263952724885093,1.0,1.0,0.974689372,0.8218603865,0.6513705314,atlas
94,1hoeA,0.5014985938553806,0.7507492969276903,2,0.0,0.0,0.0,0.9550486486,0.7034540541000001,,atlas
95,1i0vA,0.6139787793829766,0.7637115775898996,12,0.03274760383386582,0.7804878048780488,0.5,0.9753240385,0.8151701923,0.8145836538000001,atlas
96,1i2tA,0.41822009605809546,0.6095970065687137,7,0.013852242744063324,0.47619047619047616,0.5,0.9704049180000001,0.8619508197,0.7756442623,atlas
97,1ijtA,0.3365947489439653,0.6286258244518871,13,0.018944519621109608,0.35714285714285715,1.0,0.979778125,0.8078968750000001,0.7613390625,atlas
98,1im5A,0.8542210106966793,0.9271105053483397,2,0.0,0.0,0.0,0.9822494444000001,0.8425977778,,atlas
99,1iqqA,0.22426122480957636,0.5600581351403354,11,0.3140495867768595,0.9671052631578947,0.54421768707483,0.9673315,0.9495024999999999,0.9399759999999999,atlas
100,1ix9A,0.6960198785114159,0.8231515221314633,6,0.010174418604651164,0.5,0.7142857142857143,0.9833887805,0.8005219512,0.7649668293,atlas
101,1jwqA,0.8273845526966954,0.9136922763483477,2,0.0,0.0,0.0,0.9850452514,0.7993927374,,atlas
102,1k7jA,0.4373625203999479,0.6918421177388127,9,0.019638648860958365,0.72,0.6111111111111112,0.9699126214,0.8170975728000001,0.7922864078,atlas
103,1koeA,0.32008923096984615,0.5256723921655816,11,0.07174887892376682,0.4166666666666667,0.9,0.9675604651,0.6025581395,0.574975,atlas
104,1kptA,0.6786649278147577,0.7928873359988043,20,0.03663613655287261,0.8863636363636364,1.0,0.9548790476000001,0.7859371429,0.7839571429000001,atlas
105,1lj5A,0.435934693159549,0.7076492581858651,8,0.10607734806629834,0.1875,0.2222222222222222,0.9438664908000001,0.925885752,0.8605369393000001,atlas
106,1lwbA,0.31180860067255617,0.5329439589049128,9,0.236096537250787,0.6266666666666667,0.3333333333333333,0.9759877049000001,0.8409278689,0.7995885246000001,atlas
107,1mk0A,0.45734290763660984,0.6802648510964457,19,0.03780864197530864,0.6530612244897959,0.78125,0.9733340206000001,0.8599907216,0.8387896907,atlas
108,1ok0A,0.4856520720741823,0.7370627768410359,3,0.003088803088803089,1.0,0.0,0.9550486486,0.6872378378,0.6854959459000001,atlas
109,1ql0B,0.5588122271200898,0.7015709549024602,32,0.018967334035827187,0.9444444444444444,0.7058823529411765,0.973320332,0.7357771784,0.7291614108000001,atlas
110,1qlmA,0.7877717181173253,0.8938858590586627,2,0.0,0.0,0.0,0.9816104430000001,0.6418636076,,atlas
111,1qnxA,0.3987356364600388,0.7229477161464244,22,0.01177536231884058,0.7692307692307693,0.9,0.9648444976,0.7754411483,0.7686933014,atlas
112,1qxyA,0.7101318791998077,0.8281614438449425,3,0.003028009084027252,1.0,0.0,0.9790817460000001,0.6407662698000001,0.5863261905,atlas
113,1rgzA,0.4961905903393368,0.7071312484268538,12,0.0061162079510703364,0.6666666666666666,1.0,0.9718269972,0.7453939394,0.7310977961,atlas
114,1rqjA,0.8283635748234447,0.890492763162325,6,0.07996832937450514,0.32673267326732675,0.5151515151515151,0.9672444816,0.9364849498000001,0.9273752508,atlas
115,1ru4A,0.30407869670201954,0.549694895535208,37,0.22735042735042735,0.8421052631578947,0.4642857142857143,0.96549675,0.8610545,0.83139775,atlas
116,1thmA,0.6292489427173691,0.7556842502286207,13,0.01778496362166532,0.5909090909090909,0.6153846153846154,0.9844491039000001,0.7727290323,0.7567691756,atlas
117,1v4pC,0.6966836660434399,0.84834183302172,2,0.0,0.0,0.0,0.964011465,0.7659573248,,atlas
118,1vccA,0.568648570545939,0.7569639772290564,8,0.04185623293903549,0.8478260869565217,0.7948717948717948,0.9754792208,0.9259311688,0.8747363636000001,atlas
119,1wd5A,0.9192022120551774,0.9596011060275886,2,0.0,0.0,0.0,0.9747846154,0.8789365385000001,,atlas
120,1whiA,0.30651612013317614,0.6017587780766736,31,0.12881806108897742,0.422680412371134,0.7317073170731707,0.9689319672000001,0.8552163934,0.8302778689,atlas
121,1wuiL,0.5411328987901564,0.7031304175342152,28,0.03138373751783167,0.9090909090909091,0.8,0.9667342697,0.7853286517,0.7850123596,atlas
122,1xhkB,0.638319133574297,0.7912322086744442,10,0.013720742534301856,1.0,1.0,0.9299620321000001,0.8248363636,0.7909508021,atlas
123,1xo7B,0.6372961779348645,0.7582990715579511,6,0.004225352112676056,0.8333333333333334,1.0,0.9806036145,0.6595578313,0.6503265060000001,atlas
124,1yqeA,0.3983107941531278,0.6364303756812736,11,0.009433962264150943,0.6666666666666666,0.875,0.9750812057,0.7870574468,0.7599365248000001,atlas
125,1z2uA,0.435332487243067,0.6334179614308042,14,0.01675041876046901,0.6,0.8333333333333334,0.9735039999999999,0.806264,0.7952793333,atlas
126,1zdyA,0.41783141509141736,0.7394808467917368,5,0.007984031936127744,0.5,1.0,0.9409706840000001,0.7184035831000001,0.6795016287,atlas
127,2a6sB,0.30718534470199726,0.5928725747742729,10,0.008528784648187633,0.75,0.8888888888888888,0.968052381,0.9619607143000001,0.8298119048,atlas
128,2bf6A,0.7707829501826177,0.8618130587980761,19,0.08657047724750278,0.5,0.7948717948717948,0.9776445434000001,0.8749636971,0.8454180401,atlas
129,2bo1A,0.33183440688954025,0.6061426643414042,7,0.04094010614101592,0.2037037037037037,0.5454545454545454,0.9510158416000001,0.8141564356000001,0.7300069307,atlas
130,2ccqA,0.29843163023919794,0.592321043611368,10,0.009491525423728813,1.0,0.7142857142857143,0.9642414141000001,0.7945010101000001,0.7179090909,atlas
131,2ccwA,0.6500299584686529,0.7960658207120259,6,0.02666666666666667,0.25,0.8888888888888888,0.9799527132,0.8997317829,0.7766310078,atlas
132,2cfeA,0.5521251914290506,0.6973521567135967,12,0.014321819713563605,0.7647058823529411,0.5384615384615384,0.9811123457,0.7764506173,0.7263925926,atlas
133,2cx7A,0.4055631281338041,0.701627965582762,8,0.01,0.9285714285714286,0.8461538461538461,0.9715369231000001,0.7842423077,0.7800530769,atlas
134,2cxiB,0.6105405806277064,0.8070825985871455,3,0.0032102728731942215,1.0,0.0,0.9785706897,0.7751468391,0.5389632184,atlas
135,2cyjA,0.4549553439662737,0.6804416528657309,8,0.01747997086671522,0.5,0.5833333333333334,0.9784983051,0.7856423729,0.7716771186,atlas
136,2dfxI,0.5711364759146501,0.7628570931911675,17,0.045105566218809984,0.40425531914893614,0.8421052631578947,0.9685971698,0.8147179245,0.7867801887,atlas
137,2fmaA,0.39766452550403253,0.6698144999878352,7,0.054427294882209584,0.746268656716418,0.7,0.9757271186,0.9733525424,0.7769338983,atlas
138,2fozA,0.5345945284255668,0.7540623963868316,3,0.0035714285714285713,1.0,0.0,0.9693711816,0.6511887608,0.5269360231,atlas
139,2gg2A,0.4545155494968939,0.7215974921536699,5,0.004713275726630008,0.8333333333333334,0.8,0.98248327,0.6760319392,0.6665304183,atlas
140,2gkrI,0.9987915558838419,0.9993181635069163,3,0.08294573643410853,0.1308411214953271,0.0,0.9814078431000001,0.9796431373000001,0.9773705882,atlas
141,2hxmA,0.3292339027355274,0.6700970093423428,17,0.08067729083665338,0.6790123456790124,0.8727272727272727,0.9834049327000001,0.8924313901,0.8546152466,atlas
142,2hy5A,0.34353495916313714,0.7324166165473575,19,0.07635009310986965,0.7926829268292683,0.7538461538461538,0.9779553846000001,0.8789092308,0.8692823077,atlas
143,2in8A,0.5411195138383625,0.6931501212181703,6,0.004559270516717325,0.8333333333333334,0.8,0.9825424460000001,0.6881122302,0.6245352518,atlas
144,2ixmA,0.35813468028888185,0.619836143053164,6,0.13886113886113885,0.7266187050359713,0.49504950495049505,0.965250165,0.9600943894,0.9452574257,atlas
145,2jc5A,0.8409694167835228,0.9204847083917613,2,0.0,0.0,0.0,0.9801826255,0.7877301158000001,,atlas
146,2nukA,0.4760936265611299,0.6740892829977917,53,0.03841536614645858,0.90625,0.7586206896551724,0.9791524823000001,0.8025411348,0.7834283688,atlas
147,2oebA,0.8382766300698298,0.9162135652305037,3,0.02851182197496523,0.6585365853658537,0.0,0.9404245161,0.8801793548,0.81984,atlas
148,2op6A,0.45848893101989946,0.6837385279204387,67,0.043683589138134596,0.6216216216216216,1.0,0.9430671053,0.8887052632,0.8811881579,atlas
149,2p6hB,0.7672209977740735,0.8619647102047752,5,0.02650429799426934,0.16216216216216217,0.8333333333333334,0.9841947761000001,0.8583201493,0.854791791,atlas
150,2pa6B,0.504728217868612,0.685549767693729,9,0.02682701202590194,0.13793103448275862,1.0,0.9761070258000001,0.7707922717,0.7422161593000001,atlas
151,2pcnA,0.4904764331479366,0.6257834426181543,8,0.004882017900732303,0.6666666666666666,1.0,0.9727204969000001,0.7920180124,0.7154962733,atlas
152,2pppA,0.39992820612451707,0.6999641030622585,2,0.0,0.0,0.0,0.9813766355,0.5896392523,,atlas
153,2puoA,0.2853855230028961,0.5185796220810279,7,0.3511326860841424,0.9262672811059908,0.5223880597014925,0.9746770642,0.9090330275,0.6056431193,atlas
154,2pyqC,0.4699435194691092,0.7191429490710921,9,0.0046822742474916385,1.0,0.8571428571428571,0.9714429825,0.7854280702,0.7395833333,atlas
155,2qdxA,0.6154407835440467,0.7512172447726256,11,0.05897887323943662,0.9253731343283582,0.2903225806451613,0.96022607,0.8311311284,0.8259645914,atlas
156,2qiaA,0.2755743266284632,0.5505104190117248,52,0.04215851602023609,0.88,0.6363636363636364,0.9821416031,0.960080916,0.9303935115,atlas
157,2qmjA,0.354761285170269,0.6440749647399663,23,0.033582089552238806,0.8888888888888888,0.375,0.9686536782,0.7149072414000001,0.7104503448,atlas
158,2qnlA,0.5941603146876102,0.7752597939060252,10,0.060556464811783964,0.36486486486486486,0.9259259259259259,0.9776265432000001,0.8779037037,0.8045969136000001,atlas
159,2qtdA,0.5100891073427241,0.6941860043616146,4,0.00675219446320054,0.6,0.8333333333333334,0.9572561905,0.6936733333,0.6364285714,atlas
160,2rkqA,0.6016758934211937,0.7517453194454365,7,0.028875379939209727,0.3157894736842105,0.4166666666666667,0.9836461538000001,0.8211727811,0.7837775148,atlas
161,2w39A,0.636169886717448,0.782945258020832,10,0.0066945606694560665,1.0,0.875,0.9811318792,0.7276610738,0.6804496644,atlas
162,2wnpF,0.44899138749001,0.7405828813239651,5,0.007698887938408896,0.5555555555555556,0.8,0.9803847926,0.7889179724000001,0.7306105991,atlas
163,2wr8A,0.40123922345438784,0.6789484327487365,8,0.0062063615205585725,0.75,0.8333333333333334,0.9768362934,0.8694509653,0.8515127413,atlas
164,2wsiA,0.2465670690586367,0.7436255881520226,28,0.128698224852071,0.5172413793103449,0.7111111111111111,0.9418575163,0.7749885621,0.7740330065000001,atlas
165,2x63A,0.7281338777843704,0.8216471711455426,11,0.05402425578831312,0.8775510204081632,0.3953488372093023,0.9518511628,0.7878899225,0.7707321705,atlas
166,2ygsA,0.48870451663743797,0.7076843328883378,3,0.004507405022537025,0.5714285714285714,0.0,0.9748891304,0.7022576087,0.5499,atlas
167,2z0jE,0.6199498960236383,0.7991100681090691,3,0.008688783570300158,0.45454545454545453,0.0,0.9784097046,0.8122430380000001,0.5302299578,atlas
168,2z4uA,0.5396094207682988,0.7274086372530226,12,0.02262443438914027,0.95,0.3157894736842105,0.9738425287,0.8058885057,0.8056482759,atlas
169,2zfzD,0.6907671594867084,0.8097278993167201,9,0.19789674952198852,0.40096618357487923,0.8554216867469879,0.9781860759000001,0.9054632911,0.8903949367,atlas
170,3a39A,0.30063959343362134,0.5180389373377057,14,0.07521697203471553,0.782051282051282,0.6065573770491803,0.9706072289000001,0.8924228916,0.8768975904,atlas
171,3apaA,0.3632646041232162,0.6708364558668385,12,0.010300429184549357,0.6666666666666666,1.0,0.9696141844,0.8074638298,0.7682333333,atlas
172,3bk5A,0.35717449329290757,0.70453354521708,23,0.05858170606372045,0.8245614035087719,0.46808510638297873,0.9769383966,0.8740105485,0.8569628692,atlas
173,3bqpB,0.3810207784242653,0.6182751795379429,15,0.4739970282317979,0.4890282131661442,0.7628205128205128,0.93229375,0.9266675,0.90842375,atlas
174,3cjsB,0.4028152678222268,0.6927992782417188,6,0.01423728813559322,0.5238095238095238,0.45454545454545453,0.9655500000000001,0.8718611111000001,0.8714722222,atlas
175,3cjsC,0.38755523442117795,0.6524373026146653,6,0.011463250168577209,0.4117647058823529,0.8571428571428571,0.9655430556000001,0.9538527778,0.8540180556,atlas
176,3czzB,0.39595802702911703,0.6275939891515565,6,0.006666666666666667,0.8,1.0,0.9769386139,0.6830524752,0.6450405941,atlas
177,3e9vA,0.6132423425576459,0.7608109714359991,18,0.08239700374531835,0.7954545454545454,0.8428571428571429,0.9720708333,0.8881308333,0.8713500000000001,atlas
178,3f7wA,0.45329728316816553,0.6544615472239957,20,0.030328559393428812,0.8055555555555556,0.8275862068965517,0.9782975694,0.8533663194000001,0.8152079861,atlas
179,3gnuP,0.6369314990720399,0.7715395257026436,16,0.023706896551724137,0.6363636363636364,0.8571428571428571,0.9777713615,0.7897079812000001,0.7613661972,atlas
180,3ip4A,0.6023832886810851,0.7856395967122115,7,0.016593886462882096,0.3157894736842105,0.6666666666666666,0.9747449485,0.7773305155,0.7262338144,atlas
